ID_GodotObject,tags
2000118597212,"Corona-Pandemie,Coronavirus-Pandemie,COVID-19,Coronavirus,Todesfall,Leitfaden,Virus,Maskenpflicht,Krise,SARS-CoV-2,Neuinfektion,Corona-Krise,Österreich,Oberösterreich,Brasilien,Krumpendorf,Austria,Tirol,Pörtschach,USA,Salzburg,Balearen,Belgrad,Deutschland,Rumänien,Bulgarien,England,Linz,Wels-Land,Slowenien,Steiermark,Vorarlberg,Niederösterreich,Kärnten,Burgenland,Florida,Kalifornien,Arizona,Dänemark,Norwegen,Mallorca,Balearen-Insel,Spanien,Velden,Klopeiner See,Ljubljana,ÖVP,WHO,Polizei,Reuters,Gilead Sciences,EU-Kommission,Bundesrat,Weltgesundheitsorganisation,Europäische Kommission,Weißes Haus,Twitter,Anthony Fauci,Rudolf Anschober,Sebastian Kurz,Aleksandar Vucic,Karl Nehammer,Donald Trump,Thomas Stelzer,Tobias Thomas,Tedros Adhanom,Kayleigh Mcenany,Marga Frontera,Remdesivir"
2000116569218,"Corona-Pandemie,COVID-19,Maske,Ladenfläche,Coronavirus,Rewe,Lidl,APA,Billa,Bipa,ADEG,Spar Handelsgesellschaft,Caritas,Rotes Kreuz,Marcel Haraszti"
2000116573591,"Ostern,Pfingsten,Bregenzer Festspiele,Geschäftsöffnung,Maskenpflicht,Coronavirus,Gastronomie,Outdoor,Wien,Österreich,ÖVP,Bundesregierung,Fußball-Bundesliga,Werner Kogler,Ulrike Lunacek,Sebastian Kurz,Heinz Faßmann"
2000118659362,"Corona-Pandemie,Coronavirus,Corona-Krise,Generalamnestie,Rekordanstieg,COVID-19,SARS-CoV-2,Steuerhinterziehung,Virus,Ausgangsbeschränkung,Krise,Maskenpflicht,Neuinfektion,Grenzkontrolle,Frankreich,Spanien,Ungarn,Oberösterreich,Mallorca,USA,Serbien,Kärnten,Lleida,Afrika,Südamerika,Indien,Salzburg,Deutschland,Asien,China,Österreich,Katalonien,Wien,Japan,L'hospitalet de Llobregat,Barcelona,Balearen,La Rioja,Navarra,Balearen-Insel,SPÖ,ÖVP,WHO,EU,Polizei,ORF,Reuters,FAZ,APA,La Vanguardia,Innenministerium,Bundesregierung,Weltgesundheitsorganisation,Wilfried Haslauer,Donald Trump,Peter Kaiser,Thomas Stelzer,Christoph Badelt,Gabriel Attal,Ingrid Reischl,Sebastian Kurz,Rudolf Anschober,Robert Klinglmair,Clemens Wendtner,Jörg Leichtfried,Olivier Véran,Gergely Gulya"
2000129157100,"Sicherheitsphase,Maskenpflicht,Inzidenz,Sicherheitsstufe,Schulveranstaltung,Pandemie,Impfstatus,Schulbeginn,Gastronomie,Wien,ÖVP,Heinz Faßmann"
2000116643454,"Ostern,Corona-Pandemie,Geschäftsöffnung,Coronavirus,Kinderkrippe,Gastronomie,Ausreiseverbot,Dänemark,Österreich,Tschechien,Litauen,Wuhan,ÖVP,Mette Frederiksen,Saulius Skverneli,Sebastian Kurz"
2000118670364,"Corona-Pandemie,Grippewelle,Coronavirus,Maskenpflicht,COVID-19,Virus,Todesfall,Kurzarbeit,Corona-Krise,Lebensmittel,Mexiko,Kalifornien,Kroatien,Mallorca,Lateinamerika,Texas,Burgenland,Israel,Italien,Balearen-Insel,Bolivien,Los Angeles,Balearen,Zagreb,Katalonien,Spanien,Eisenstadt,SPÖ,EU,ORF,Bipa,BMG,Pamela Rendi-Wagner,Werner Kogler,Juval Steinitz,Hans Peter Doskozil,Ulrike Königsberger-Ludwig,Anton Heinzl,Jeanine Áñez,Juan Orlando Hernández,Donald Trump,Christoph Badelt"
2000123339962,"Verhandlerkreis,Tagesüberblick,Mindestabstand,Lockdownende,Distanzunterricht,Virus,Gastronomie,Österreich,Medizinische Universität Wien,Bundesregierung,APA,Oswald Wagner,Andreas Bergthaler"
2000118691918,"EU-Gipfel,Landeverbot,Coronavirus,Maskenpflicht,Polizeiinspektion,COVID-19,Hilfspaket,Virus,Reisewarnung,Neuinfektion,Quarantäne,SARS-CoV-2,Freikirche,Epidemiegesetz,Infektionszahl,Todesfall,Salzburg,Österreich,England,Israel,Gütersloh,Kalifornien,Itzling,Asien,Hongkong,Japan,Italien,Lombardei,Wiener Neustadt,Westbalkan,Bulgarien,Rumänien,Moldau,Ägypten,Belgrad,Bukarest,Kairo,Podgorica,Sarajevo,Sibiu,Skopje,Tirana,Wien-Schwechat,Serbien,Montenegro,Weißrussland,China,Großbritannien,Iran,Portugal,Russland,Ukraine,Nordrhein-Westfalen,Niederösterreich,Oberösterreich,FPÖ,EU,Polizei,Bundesrat,SPÖ,ÖVP,APA,ORF,AUA,BMG,Tönnies Holding,Rotes Kreuz,Ö1,Billa,Rewe,Geheimdienst,Times of Israel,Werner Kogler,Pamela Rendi-Wagner,Angela Merkel,Rudolf Anschober,Giuseppe Conte,Benjamin Netanjahu,Gerald Loacker,Manfred Lindenthaler,Sebastian Kurz,Korinna Schumann,Monika Mühlwerth"
2000116717900,"Ostern,Quarantäne,Infizierte,COVID-19,Coronavirus,Österreich,St. Anton,Paznaun,Paznauntal,Arlberg,Sölden,Italien,Spanien,EU,ÖVP,Rudolf Anschober,Boris Johnson,Heinz Faßmann,Günther Ogris,Christoph Hofinger,Herwig Ostermann"
