ID_Posting,ID_Posting_Parent,ID_GodotObject,ID_CommunityIdentity,id_posting_status,Headline,Comment,createdAt,VoteNegative,VotePositive,merged_text,p_merged_text
1049746955,1049746300,2000114365338,581535,1.0,,"Nö, noch um einiges schlimmer.",2020-02-10 13:39:17.460,False,True,"Nö, noch um einiges schlimmer. | ",nö schlimm
1051995057,-1,2000116305030,701007,1.0,Wer den April überlebt,kann den Kampf dann mit dem Mai aufnehmen.,2020-03-30 06:25:47.170,True,False,kann den Kampf dann mit dem Mai aufnehmen. | Wer den April überlebt,Kampf Mai aufnehmen wer April überleben
1051995172,1051995146,2000116305030,551403,1.0,,Du musst dir die Kommentare durchlesen um zu verstehen wie deppert viele Leute sind.,2020-03-30 06:42:35.210,False,True,Du musst dir die Kommentare durchlesen um zu verstehen wie deppert viele Leute sind. | ,mussten Kommentar durchleben verstehen doppelt vieler Leute
1051995270,1051995150,2000116305030,728359,1.0,Du meinst:,teaching by doing?,2020-03-30 06:51:41.937,False,True,teaching by doing? | Du meinst:,searching by doing meinst
1051995629,1051995308,2000116305030,83271,1.0,,Genau! Warum sollte ein Diktator lügen?,2020-03-30 07:14:39.053,True,False,Genau! Warum sollte ein Diktator lügen? | ,genau warum Diktator lügen
1051995690,-1,2000116305030,586529,1.0,,"Recht hat er, wenns ums ueberleben geht. Die Angst ist berechtigt dass es irgendwie bleibt und Daten nicht geloescht werden.",2020-03-30 07:17:35.470,True,False,"Recht hat er, wenns ums ueberleben geht. Die Angst ist berechtigt dass es irgendwie bleibt und Daten nicht geloescht werden. | ",Recht wenns um überleben gehen Angst berechtigen irgendwie bleiben daten löschen
1051995901,1051995868,2000116305030,117313,1.0,,Er fehlt nicht. Er wird von den Nationalisten torpediert...,2020-03-30 07:28:30.687,True,False,Er fehlt nicht. Er wird von den Nationalisten torpediert... | ,fehlen nationalisen torpedieren
1051995931,1051995872,2000116305030,567555,1.0,,im live ticker gehts leider nicht :-/,2020-03-30 07:30:19.267,True,False,im live ticker gehts leider nicht :-/ | ,live dick Geht leider
1051996287,-1,2000116305030,513450,1.0,Dann werden die unbelehrbaren eben ihr Handy zuhause lassen.,Und der einzige Sinn ist tatsächlich die Einführung eines Überwachungsstaates.,2020-03-30 07:45:34.570,True,False,Und der einzige Sinn ist tatsächlich die Einführung eines Überwachungsstaates. | Dann werden die unbelehrbaren eben ihr Handy zuhause lassen.,einzig Sinn tatsächlich Einführung überwachungsstaat unbelehrbaren eben handy zuhause lassen
1051996517,1051996387,2000116305030,83271,1.0,,"Für mich hört sich der Beitrag nicht sehr schlimm an. Kann es ein, dass Sie einfach nur von den absoluten Zahlen beeinflusst werden?",2020-03-30 07:53:40.090,False,True,"Für mich hört sich der Beitrag nicht sehr schlimm an. Kann es ein, dass Sie einfach nur von den absoluten Zahlen beeinflusst werden? | ",hören Beitrag schlimm einfach absolut zahlen beeinflussen
1051996631,-1,2000116305030,681430,1.0,Eine Bank mit 3.3Mrd. Dollar Gewinn,Mehr brauchst nicht sagen,2020-03-30 07:56:31.630,False,True,Mehr brauchst nicht sagen | Eine Bank mit 3.3Mrd. Dollar Gewinn,mehr brauchen sagen Bank 33mrd Dollar Gewinn
1051996762,-1,2000116305030,699271,1.0,Solange sie keine Hilfe brauchen,"Aktionäre sind auch Pensionsfonds, kapitalgedeckte Renten, ...",2020-03-30 08:00:25.807,False,True,"Aktionäre sind auch Pensionsfonds, kapitalgedeckte Renten, ... | Solange sie keine Hilfe brauchen",Aktionär Pensionsfonds Kapitalgedeckt renen solange Hilfe brauchen
1051996981,-1,2000116305030,651510,1.0,,Wieso ist man überhaupt mit einem gewalttätigen Partner zusammen?,2020-03-30 08:07:17.283,True,False,Wieso ist man überhaupt mit einem gewalttätigen Partner zusammen? | ,wieso überhaupt gewalttätig Partner zusammen
